Word,Description
Aalii,a small Hawaiian tree with hard dark wood
Aalst,a town in central Belgium
Aalto,Finnish architect and designer of furniture (1898-1976)
Aaron,(Old Testament) elder brother of Moses and first high priest of the Israelites; created the golden calf
Abaca,Philippine banana tree having leafstalks that yield Manila hemp used for rope and paper etc
Aback,by surprise
Abaft,at or near or toward the stern of a ship or tail of an airplane
Abamp,a unit of current equal to 10 amperes
Abase,cause to feel shame; hurt the pride of
Abash,cause to be embarrassed; cause to feel self-conscious
Abate,become less in amount or intensity
Abaya,(Arabic) a loose black robe from head to toe; traditionally worn by Muslim women
Abbey,a monastery ruled by an abbot
Abbot,the superior of an abbey of monks
Abeam,at right angles to the length of a ship or airplane
Abele,a poplar that is widely cultivated in the United States; has white bark and leaves with whitish undersurfaces
Abhor,find repugnant
Abide,put up with something or somebody unpleasant
Abies,true firs
Abila,a promontory in northern Morocco opposite the Rock of Gibraltar; one of the Pillars of Hercules
Abode,housing that someone is living in
Abohm,a unit of resistance equal to a billionth of an ohm
Abort,the act of terminating a project or procedure before it is completed
About,on the move
Above,appearing earlier in the same text
Abuja,capital of Nigeria in the center of the country
Abuse,cruel or inhumane treatment
Abuzz,noisy like the sound of a bee
Abyla,a promontory in northern Morocco opposite the Rock of Gibraltar; one of the Pillars of Hercules
Abysm,a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)
Abyss,a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)
Accho,a town and port in northwestern Israel in the eastern Mediterranean
Accra,the capital and largest city of Ghana with a deep-water port
Acerb,harsh or corrosive in tone
Ackee,red pear-shaped tropical fruit with poisonous seeds; flesh is poisonous when unripe or overripe
Acned,(of complexion) blemished by imperfections of the skin
Acold,of persons; feeling cold; - Shakespeare
Acorn,fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base
Acres,extensive landed property (especially in the country) retained by the owner for his own use
Acrid,harsh or corrosive in tone
Acris,cricket frogs
Actin,one of the proteins into which actomyosin can be split; can exist in either a globular or a fibrous form
